사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
Oct-23,1호선,150,서울역,"1,414,759","1,325,225","228,199","221,362"
Oct-23,1호선,151,시청,"680,015","688,576","110,873","109,588"
Oct-23,1호선,152,종각,"934,182","912,219","153,323","142,417"
Oct-23,1호선,153,종로3가,"505,893","450,857","318,029","290,405"
Oct-23,1호선,154,종로5가,"496,473","499,265","268,981","260,177"
Oct-23,1호선,155,동대문,"240,537","233,806","133,504","134,891"
Oct-23,1호선,156,신설동,"285,710","274,653","125,851","123,331"
Oct-23,1호선,157,제기동,"229,494","219,321","284,154","303,921"
Oct-23,1호선,158,청량리(서울시립대입구),"373,168","363,785","284,133","286,861"
Oct-23,1호선,159,동묘앞,"158,633","169,937","179,081","180,728"
Oct-23,2호선,201,시청,"661,611","620,522","64,629","59,210"
Oct-23,2호선,202,을지로입구,"1,250,870","1,276,706","106,095","98,286"
Oct-23,2호선,203,을지로3가,"610,279","602,191","74,883","73,373"
Oct-23,2호선,204,을지로4가,"320,763","326,448","79,341","78,130"
Oct-23,2호선,205,동대문역사문화공원(DDP),"379,586","440,630","62,120","67,309"
Oct-23,2호선,206,신당,"336,123","356,777","96,339","98,482"
Oct-23,2호선,207,상왕십리,"344,846","332,351","70,382","70,770"
Oct-23,2호선,208,왕십리(성동구청),"407,441","357,135","54,346","48,545"
Oct-23,2호선,209,한양대,"332,911","367,396","15,428","16,391"
Oct-23,2호선,210,뚝섬,"637,115","661,574","64,344","64,026"
Oct-23,2호선,211,성수,"1,054,611","1,186,936","103,034","105,050"
Oct-23,2호선,212,건대입구,"1,010,448","1,057,217","98,538","101,885"
Oct-23,2호선,213,구의(광진구청),"593,797","573,678","109,716","110,007"
Oct-23,2호선,214,강변(동서울터미널),"832,602","774,221","133,637","128,349"
Oct-23,2호선,215,잠실나루,"340,881","330,305","92,301","92,484"
Oct-23,2호선,216,잠실(송파구청),"2,106,912","2,093,629","229,781","216,510"
Oct-23,2호선,217,잠실새내,"557,844","557,172","116,755","115,732"
Oct-23,2호선,218,종합운동장,"308,571","353,461","57,010","60,797"
Oct-23,2호선,219,삼성(무역센터),"1,372,968","1,396,256","120,267","111,573"
Oct-23,2호선,220,선릉,"1,264,299","1,112,394","224,287","197,317"
Oct-23,2호선,221,역삼,"1,151,287","1,322,632","145,830","149,266"
Oct-23,2호선,222,강남,"2,015,080","1,972,389","158,673","138,379"
Oct-23,2호선,223,교대(법원.검찰청),"684,425","827,244","147,637","175,762"
Oct-23,2호선,224,서초,"537,099","501,799","91,921","89,393"
Oct-23,2호선,225,방배,"420,307","435,752","81,173","81,102"
Oct-23,2호선,226,사당,"962,693","1,089,954","218,934","212,233"
Oct-23,2호선,227,낙성대(강감찬),"699,484","679,644","115,431","117,789"
Oct-23,2호선,228,서울대입구(관악구청),"1,164,803","1,146,158","187,084","177,847"
Oct-23,2호선,229,봉천,"537,747","492,712","155,843","154,275"
Oct-23,2호선,230,신림,"1,383,283","1,322,130","208,677","205,802"
Oct-23,2호선,231,신대방,"619,731","595,720","138,059","138,528"
Oct-23,2호선,232,구로디지털단지,"1,414,512","1,395,075","198,299","197,432"
Oct-23,2호선,233,대림(구로구청),"588,822","600,859","136,627","141,167"
Oct-23,2호선,234,신도림,"1,229,801","1,225,079","230,274","217,515"
Oct-23,2호선,235,문래,"523,046","542,351","87,479","87,119"
Oct-23,2호선,236,영등포구청,"492,685","512,788","102,192","101,626"
Oct-23,2호선,237,당산,"468,632","545,295","63,466","69,245"
Oct-23,2호선,238,합정,"901,235","988,385","73,996","75,278"
Oct-23,2호선,239,홍대입구,"2,021,040","2,210,524","103,476","101,120"
Oct-23,2호선,240,신촌,"1,015,517","1,043,077","125,713","123,350"
Oct-23,2호선,241,이대,"444,107","490,081","50,420","53,964"
Oct-23,2호선,242,아현,"253,170","231,888","67,472","65,628"
Oct-23,2호선,243,충정로(경기대입구),"234,811","250,639","49,647","49,945"
Oct-23,2호선,244,용답,"69,541","69,942","18,749","18,292"
Oct-23,2호선,245,신답,"36,566","40,450","10,247","11,017"
Oct-23,2호선,246,신설동,"77,859","72,959","33,779","35,586"
Oct-23,2호선,247,도림천,"26,526","27,771","8,721","9,978"
Oct-23,2호선,248,양천구청,"146,199","153,752","54,053","54,901"
Oct-23,2호선,249,신정네거리,"220,975","227,778","79,488","80,298"
Oct-23,2호선,250,용두(동대문구청),"46,288","44,979","24,402","25,565"
Oct-23,3호선,309,지축,"169,628","167,883","37,743","36,173"
Oct-23,3호선,310,구파발,"510,800","502,926","137,907","133,225"
Oct-23,3호선,311,연신내,"764,865","718,913","275,881","265,478"
Oct-23,3호선,312,불광,"348,864","376,698","149,858","165,725"
Oct-23,3호선,313,녹번,"373,315","330,910","84,602","82,792"
Oct-23,3호선,314,홍제,"394,656","370,268","153,448","150,698"
Oct-23,3호선,315,무악재,"94,104","92,764","34,502","37,066"
Oct-23,3호선,316,독립문,"158,453","170,572","77,633","79,017"
Oct-23,3호선,317,경복궁(정부서울청사),"744,311","781,954","119,185","124,494"
Oct-23,3호선,318,안국,"733,910","760,025","115,264","118,538"
Oct-23,3호선,319,종로3가,"246,881","302,134","66,825","76,048"
Oct-23,3호선,320,을지로3가,"276,002","282,312","48,919","46,607"
Oct-23,3호선,321,충무로,49,0,4,0
Oct-23,3호선,322,동대입구,"290,491","331,566","47,487","52,353"
Oct-23,3호선,323,약수,"293,692","286,557","88,311","83,042"
Oct-23,3호선,324,금호,"181,161","163,691","58,138","56,917"
Oct-23,3호선,325,옥수,"204,146","208,162","64,590","64,166"
Oct-23,3호선,326,압구정,"759,650","832,239","143,776","144,404"
Oct-23,3호선,327,신사,"738,810","775,972","71,773","70,044"
Oct-23,3호선,328,잠원,"116,859","111,454","33,022","31,419"
Oct-23,3호선,329,고속터미널,"1,316,729","1,199,995","220,962","208,618"
Oct-23,3호선,330,교대(법원.검찰청),"377,344","224,312","84,283","47,065"
Oct-23,3호선,331,남부터미널(예술의전당),"728,664","729,449","131,180","131,809"
Oct-23,3호선,332,양재(서초구청),"856,558","952,367","156,922","157,594"
Oct-23,3호선,333,매봉,"270,278","262,543","71,750","67,313"
Oct-23,3호선,334,도곡,"118,742","122,287","25,412","25,830"
Oct-23,3호선,335,대치,"290,905","282,331","72,193","69,293"
Oct-23,3호선,336,학여울,"50,729","51,899","18,770","18,464"
Oct-23,3호선,337,대청,"239,615","224,124","67,470","65,310"
Oct-23,3호선,338,일원,"238,494","229,328","74,114","73,586"
Oct-23,3호선,339,수서,"432,863","435,997","124,806","124,434"
Oct-23,3호선,340,가락시장,"178,326","176,954","83,659","81,703"
Oct-23,3호선,341,경찰병원,"160,152","158,832","43,957","45,346"
Oct-23,3호선,342,오금,"152,123","135,441","34,792","32,359"
Oct-23,4호선,409,당고개,"209,510","174,650","81,989","80,680"
Oct-23,4호선,410,상계,"444,701","410,313","134,582","132,027"
Oct-23,4호선,411,노원,"469,835","554,093","102,968","111,145"
Oct-23,4호선,412,창동,"536,441","568,847","222,194","228,616"
Oct-23,4호선,413,쌍문,"671,266","607,467","185,090","182,214"
Oct-23,4호선,414,수유(강북구청),"809,701","803,106","209,781","209,958"
Oct-23,4호선,415,미아(서울사이버대학),"339,140","321,290","123,733","124,848"
Oct-23,4호선,416,미아사거리,"597,847","581,959","198,390","197,090"
