사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
24-Oct,1호선,150,서울역,573,9,"8,623","9,367","14,928","61,884","42,711","117,041","76,589","237,308","72,617","161,142","71,262","91,617","86,313","83,265","97,437","91,084","94,255","94,948","84,628","88,276","114,970","87,674","133,867","89,698","194,375","98,530","231,709","98,042","126,822","69,485","91,606","49,871","92,370","45,709","59,400","29,520","29,792","13,969","2,848","3,802",1,207,0,0,0,0
24-Oct,1호선,151,시청,84,1,"2,078","5,753","4,249","30,299","8,265","74,509","11,334","195,324","15,004","98,041","18,452","57,341","24,635","57,924","27,043","53,398","35,476","58,643","47,379","53,107","64,040","40,680","86,063","34,233","112,775","32,004","166,376","27,233","68,640","13,765","60,913","9,798","51,491","8,905","30,800","6,197","10,346","3,775",506,979,1,41,0,0,0,0
24-Oct,1호선,152,종각,159,8,"4,201","5,781","4,488","35,252","7,237","110,525","11,342","263,764","14,380","149,295","20,352","67,223","29,528","64,274","35,660","55,950","44,325","60,596","56,629","49,998","75,299","41,427","97,644","43,085","164,480","47,217","218,416","47,311","99,322","24,271","83,724","13,048","83,337","9,986","59,049","7,095","24,983","4,267","1,677","1,077",0,1,0,1,0,0
24-Oct,1호선,153,종로3가,219,10,"4,354","3,123","4,312","13,909","6,331","27,628","10,864","64,799","16,221","65,220","22,921","60,132","32,607","72,904","44,982","72,041","50,835","66,250","62,324","58,628","73,941","49,311","83,450","47,504","94,637","44,436","100,580","43,323","62,119","23,550","52,834","14,086","52,605","11,358","40,793","8,941","18,787","5,645","1,784","2,380",1,32,0,0,0,0
24-Oct,1호선,154,종로5가,66,2,"2,201","4,098","3,334","18,537","6,403","41,918","10,525","95,222","15,511","69,056","25,341","61,395","37,059","65,381","46,100","60,386","54,652","55,823","63,544","52,539","68,909","43,911","74,949","41,074","92,376","36,526","97,050","31,987","51,839","18,467","36,297","11,016","32,840","8,138","17,953","5,837","5,732","3,708",327,923,0,2,0,0,0,0
24-Oct,1호선,155,동대문,634,22,"12,458","1,990","10,170","7,253","16,816","12,049","22,735","21,186","21,717","24,095","19,779","26,622","21,165","30,315","25,143","29,197","27,150","27,920","29,548","27,755","30,804","25,283","31,133","25,386","30,266","24,894","27,302","24,323","19,500","23,707","16,751","16,407","14,611","15,385","11,413","14,530","5,815","9,969",771,"2,838",4,231,0,0,0,0
24-Oct,1호선,156,신설동,384,22,"9,813","2,340","10,345","10,232","22,756","26,027","33,583","55,972","23,917","33,748","21,082","22,860","22,973","21,174","24,475","20,366","25,969","21,579","25,278","20,022","26,979","22,107","32,246","24,010","42,902","27,089","53,797","32,654","21,330","23,384","14,593","16,683","12,472","16,665","8,783","14,547","3,887","9,779",375,"2,781",0,1,0,1,0,0
24-Oct,1호선,157,제기동,499,3,"5,642","2,958","9,670","10,945","22,731","22,660","33,113","40,459","25,018","35,470","27,206","42,890","35,184","52,548","42,478","53,147","44,879","53,537","49,574","51,289","54,037","40,510","54,632","36,917","47,948","29,379","40,653","27,536","21,533","17,994","14,065","12,468","9,216","11,295","5,586","9,547","2,495","6,132",202,"1,494",0,0,0,0,0,0
24-Oct,1호선,158,청량리(서울시립대입구),"1,216",23,"11,358","3,394","19,330","11,868","50,889","19,730","60,782","42,012","40,456","40,624","36,394","43,515","44,380","51,366","49,053","49,732","52,184","50,771","54,644","55,105","57,655","51,753","60,601","51,388","55,945","52,642","48,330","60,729","27,809","39,747","22,379","25,383","17,358","24,426","11,270","20,076","4,437","12,302",290,"3,541",0,0,0,0,0,0
24-Oct,1호선,159,동묘앞,223,4,"3,169","1,026","3,758","5,319","9,258","10,158","14,474","21,962","12,702","19,323","14,026","26,098","19,011","35,183","26,614","38,104","34,918","42,518","38,200","36,024","39,887","30,640","41,458","22,474","36,376","16,686","23,880","12,636","10,429","9,695","6,004","6,919","5,039","7,060","3,529","6,902","1,240","4,882",106,"1,831",0,263,0,0,0,0
24-Oct,2호선,201,시청,25,2,"1,087","1,984","2,589","22,736","5,339","71,508","9,480","219,023","14,968","95,076","21,842","38,016","27,287","36,854","27,014","36,235","33,229","41,603","42,346","37,631","53,595","31,573","70,851","26,064","118,466","27,132","174,229","25,347","66,282","13,784","50,806","9,330","43,284","8,998","26,936","7,192","10,141","4,653","1,223","1,413",2,94,0,0,0,0
